city,city_ascii,country,lat,lng
San José del Guaviare,San Jose del Guaviare,Colombia,2.5653,-72.6386
Ponta Delgada,Ponta Delgada,Portugal,37.74,-25.67
Gävle,Gavle,Sweden,60.667,17.1666
Wrecsam,Wrecsam,United Kingdom,53.046,-2.993
Villa Domínico,Villa Dominico,Argentina,-34.6917,-58.3333
Kitamoto,Kitamoto,Japan,36.0269,139.53
Afragola,Afragola,Italy,40.9167,14.3167
Şəki,Saki,Azerbaijan,41.1919,47.1706
Zamość,Zamosc,Poland,50.7206,23.2586
Adrar,Adrar,Algeria,27.8742,-0.2939
Waterlooville,Waterlooville,United Kingdom,50.88,-1.03
Tomigusuku,Tomigusuku,Japan,26.1772,127.6811
Buynaksk,Buynaksk,Russia,42.8167,47.1167
Hämeenlinna,Hameenlinna,Finland,61,24.4414
Guaynabo,Guaynabo,Puerto Rico,18.3839,-66.1134
Gaithersburg,Gaithersburg,United States,39.1346,-77.2132
Union City,Union City,United States,40.7674,-74.0323
Výronas,Vyronas,Greece,37.9556,23.76
Scarborough,Scarborough,United Kingdom,54.2773,-0.4017
Caçador,Cacador,Brazil,-26.7753,-51.015
South San Francisco,South San Francisco,United States,37.6536,-122.4197
Timbaúba,Timbauba,Brazil,-7.5053,-35.3183
